id,answer
19,8.872
13,0.386
10,1.50653114e-36
14,28.2956
15,-1
16,5.09e-8
21,1.29e-4
17,5.7252
8,1.993e-4
20,7.16
6,0.4
18,88.3
3,2.71
4,347.5
9,0.300
2,0.898
5,1.57e-22
1,1.06
12,2.366
0,0.9545
24,69.68
36,3.906
28,5.445e-4
29,0.7660
30,66.0
27,169.0
37,-3.6666666667
39,1110
40,0.400
25,4.2097
26,60
22,-8.0
45,7.0
32,1.44
33,4640
34,0.172
38,2.005e-1
23,1.2
35,3.14e-1
41,71.57
53,4.65e-33
50,1.3846
55,938.272
49,89.4427191
31,2229.16
51,0.9999567
52,0.3204
60,9.67e-25
42,5.88
64,1.77e3
44,3.24924e5
43,3720
68,3.10
48,95.801
65,0.449
54,1.384
11,29.34
59,2.835
63,4.0
46,15.5
73,8.94e3
47,25
71,4.96
66,21.61
74,1.1772
58,4.695
62,0.95
79,925
75,0.0999
80,-143.84
67,1.61874
78,9.17
82,15.8
72,1870
61,56.25
83,0.76
90,3.54e-7
85,9.05
57,516.67
92,1.988
87,264.5
77,6
93,362.6
84,1.33486
95,0.07031
98,1.08e5
88,1.77
107,0.176
81,1.34
89,0.903
69,0.02343111111111111
105,12.337
104,9.0
91,30
97,170.2128
103,9.21e7
109,1.45e-13
86,7.56
96,330
94,3.78e-4
108,0.526
101,2.97
56,0.785
111,1.7967
115,3.525
114,0.1224
116,1.5
76,33996.24
106,5.377e-11
113,3.70
110,35.799915
112,6.11
124,0.527
130,2.8977719
127,911.3
120,8.2e8
122,4
119,1
99,2.8608
123,4.74
118,5270
126,0.527
134,7.00
102,12.8
128,6.626
131,-0.5
129,2465
133,0.25
125,54.4
121,239.5
132,-0.3333333333
144,1.00614
141,5770
150,1.246
135,0.13886
136,1.2816
138,1733
137,1.07
143,0.2894
117,2.945
142,12.0
146,11140
149,2.967e19
151,1.602
140,4.74
147,3
153,7.6e1
139,1.9878
154,-0.25
148,3.25e-30
162,2.0e-3
100,1.28e-6
156,5.456
164,0.5
160,5.93
155,234.2331
161,0
157,16.9
167,5.497e-4
159,3.56725
158,3.55
145,1.695
165,123.7
152,2.0
166,1.118
169,11.4
170,0.483
175,7.27
168,3.909
172,7.543e-5
182,2.8026
178,1.587
163,-2220
174,150
173,-6.61
177,518.5
183,39.7
193,0.4232
176,1.233
192,59.03
185,13.8
180,52.81
181,51.68
188,-994.30
190,84.6
187,437
210,54.7356
201,9.125
195,273.1
197,1.07e+0
199,1.827
194,-0.3135
209,0.332
204,无明确答案
189,-514.79
212,无法确定
215,2.251
198,873000
200,399
222,1
191,463.9
203,-27.2
205,9
208,0.486
206,191.6698
228,0.9274
213,52.68
218,-3.618e-31
223,2.566e-3
216,1.485e-7
217,442.386
214,0
211,-485.7
220,0.75
224,2
219,109.15
221,0.98
202,3.2997
225,4.43
226,432.096
229,10
231,1.496e-34
196,524000
179,0
230,1.084
186,33.89
171,5.0
207,5.525e-6
227,0.1397
184,4.357
