id,answer
19,8.87
13,0.528
10,3.01306229e-36
14,27.287
15,e^{59.4}
16,3.526e-8
21,0.0388
17,5.725
8,0.00395
20,7.1
6,0.4
18,88.3
3,1.3038
4,334.7
9,0.300
2,0.942
5,0.0015
1,1.116
12,2.366
0,0.9538
24,69.69
36,3.90
28,1/1837
29,0.447
30,66.0
27,98.34
37,11/3
39,1108
40,0.400
25,4.21
26,60
22,8.0
45,81200
32,0.9504π
33,4630
34,0.176
38,0.20055
23,14.4
35,0.10π
41,4.152
53,4.65e-34
50,9/13
55,1.293
49,89.4427
31,980
51,0.999956
52,3.25
60,9.66e-25
42,5.88
64,1775.6
44,322920000
43,3653.043
68,3.10
48,95.788
65,0.425
54,1.13
11,29.34
59,2.835
63,-4.0
46,15.5
73,300
47,25
71,4.96
66,21.32
74,1.176
58,4.695
62,11.0
79,922.39
75,0.0983
80,17.98
67,3.28
78,15.7
82,31.6
72,1880
61,4.476
83,0.76
90,3.54e-7
85,9.05
57,516.67
92,1.98766
87,264.6
77,12
93,162
84,1.334
95,7.031
98,108000
88,1.74
107,0.05476
81,2.5
89,1.80
69,0.2338
105,1.25π2
104,9.0
91,12.86
97,1600/9.4
103,2.965e7
109,0
86,7.56
96,330.39
94,1.16
108,1.78
101,1.51
56,2.35
111,1.80
115,3.523
114,0.1226
116,3/2
76,318912000
106,5.378e-11
113,3.70
110,35.79998
112,2.65
124,0.527
130,2.8977719
127,91.1
120,8.18e-12
122,3
119,1
99,2.688
123,4.74
118,5270
126,1
134,7.00
102,23.52
128,6.626
131,-1/2
129,2485
133,0.25
125,5247.3
121,239.5
132,-1/3
144,1.00614
141,5.608
150,1.2437
135,0.13886
136,1.2816
138,549.2
137,1.07
143,0.2894
117,2.945
142,0.012
146,11140
149,2.758e19
151,1.602
140,19.40625
147,1
153,75.99375
139,1.9878
154,-0.25
148,3.24e-26
162,0.0079
100,1.28e-6
156,5.45
164,1/2
160,5.93
155,-66.0
161,无法确定，缺少 $C_p(T)$ 数据
157,16.8
167,-5.35e-8
159,0.361
158,3.55
145,1.7
165,2.178
152,1.8
166,1.118
169,11.4
170,0.484
175,0.727
168,3.729
172,2.673e4
182,3.19e2
178,16.75
163,-2132.2
174,1.169
173,6.44
177,2.30e34
183,39.7
193,3.775e9
176,1.23
192,40
185,205.24
180,8.56
181,51.66
188,404.56
190,88.0
187,\frac{6.62607015 \cdot 3.0 \cdot 32320}{1.38064
210,arccos(1/\sqrt{3})
201,9.13
195,270.24
197,0.11834
199,1.827
194,0
209,0.3323
204,3
189,G_1 + H \ln\left( \frac{375}{298} \right)
212,-4.75
215,1
198,750
200,399
222,1
191,-133.79
203,-13.6
205,12
208,0.1573
206,9.787e-8
228,1.8548
213,2.647
218,-4.57e58
223,0.405
216,0.0002157
217,126.4
214,190
211,124.474
220,2.75
224,4
219,31.3
221,1
202,2.42878862
225,3.02
226,432.37
229,5
231,0
196,524.7
179,E2 + E1
230,0.100
186,33.89
171,5
207,5.64
227,140.0
184,43.57
