id,answer
19,8.8308
13,0.2647
10,3.013062e-36
14,27.243
15,1.17e+125
16,5.08e-8
21,3.88e-2
17,5.7252e0
8,0.00396
20,7.29
6,0.4
18,2.785e8
3,1.3038
4,48.99
9,0.300
2,0.90
5,1.23e-5
1,1.114
12,2.366
0,0.9536
24,62.65
36,3.906
28,5.447e-4
29,0.447
30,66.0
27,168.8
37,-3.6667
39,1100
40,1.5968
25,4.21
26,60
22,80
45,8.12e4
32,3.0
33,4640
34,0.172
38,0.004712388980384689
23,14.4
35,0.314
41,5.507
53,4.63e-33
50,-0.69444
55,2639932
49,89.44
31,980
51,0.999956
52,3.206e-5
60,9.66e-25
42,5.886
64,1766
44,33944.16
43,6.2075e-21
68,3.102
48,4.20
65,0.80
54,1.176
11,29.34
59,2.835
63,-4.0
46,15.5
73,4.88e2
47,25
71,4.96
66,21.61
74,1.1772
58,10.84
62,11.0
79,9.11e3
75,0.100
80,1.798e1
67,1.6566
78,15.63
82,39.4
72,1860
61,8.95
83,0.760
90,3.541675125e-7
85,9.05
57,516.667
92,1.988
87,263.3
77,6
93,5125.58
84,1.33486
95,7.031
98,1.08e5
88,1.729
107,5.49e-2
81,1.327
89,1.806
69,0
105,12.337
104,9.0
91,38.6
97,170.2128
103,2.965e7
109,0
86,7.56
96,-594.6
94,1.157e-2
108,7.00
101,0.13993
56,0.784
111,1.7985
115,3.524
114,0.122666484
116,1.5
76,33966.24
106,5.38e-11
113,3.706
110,35.803
112,0.548
124,0.5272859
130,2.8977719
127,91.1
120,8.2e8
122,3
119,1
99,0
123,4.74
118,5268.676
126,0.527
134,1.16237734662e-26
102,19.58
128,6.62607015
131,-0.5
129,2515.5
133,0.25
125,54.4
121,239.5
132,0.3333333333333333
144,1.00617
141,2.31
150,1.246
135,0.13886
136,3.204
138,1670
137,1.07
143,0.26364295
117,2.949
142,12.0
146,1.1145e4
149,306.6
151,1.602176634
140,5.112
147,1
153,76
139,1.987821045
154,-0.25
148,0.004
162,0.008664
100,1.28e-6
156,4.362
164,0.5
160,5.93
155,234.3
161,44.563735
157,15.74
167,-5.364e-6
159,3.58
158,3.55
145,1.69
165,6.148
152,2.2
166,1.118
169,11.4
170,0.4836
175,7.27
168,-29.7
172,2.565e-2
182,2.802
178,16.56
163,-2132
174,116.9
173,-3.0967
177,1.2417
183,39.69405
193,0.42
176,1.976e-18
192,59.05
185,13.73
180,15.81
181,51.735
188,-994.30
190,123
187,355
210,54.7356
201,9.1266
195,272.99
197,1.074654
199,1.827
194,2.11e-3
209,0.3316
204,2
189,-514.01
212,-4.75
215,2.251
198,0.73
200,399
222,1
191,250.2
203,-6.8
205,12
208,0.008
206,4.478e-23
228,1.8567
213,17.81
218,-0.3618
223,25.63
216,9.75e-4
217,252.8
214,6.402373705728e-13
211,933.3
220,0
224,3
219,107.9
221,0.9746
202,2.4301372
225,3.02
226,432.16
229,10
231,0
196,524
179,0
230,1.09
186,538
171,5.0
207,680000
227,0.1415
184,4.357
